Wops(A),Pops(A),Wera(D),Pera(D),winsW
.712,.601,2.34,3.68,0
.732,.603,2.43,3.96,1
.731,.605,2.40,4.03,1
.746,.609,2.43,4.28,1
.725,.635,2.64,4.38,1
.732,.635,2.61,4.46,1
.732,.639,2.71,4.43,0
.836,.651,3.99,3.93,1
.819,.650,3.87,3.79,0
.817,.647,3.88,3.84,1
.816,.638,3.74,3.86,1
.772,.689,4.05,4.48,1
.772,.691,4.05,4.46,0
.774,.690,4.02,4.50,1
.721,.708,3.97,4.95,1
.721,.702,3.91,5.00,1
.724,.705,3.93,5.02,1
.746,.695,4.14,4.97,1
.748,.697,4.11,4.99,1
.744,.700,4.12,4.93,0
.697,.735,3.48,3.34,0
.710,.733,3.49,3.51,1
.708,.731,3.52,3.52,0
.710,.723,3.47,3.56,1
.711,.704,3.71,3.89,0
.713,.706,3.74,3.94,1
.713,.708,3.73,3.93,0
.782,.756,4.24,4.14,1
.774,.762,4.26,4.05,0
.764,.759,4.25,3.94,0
.748,.742,4.39,4.09,0
.746,.751,4.48,4.09,0
.750,.749,4.46,4.11,1
