Wops(A),Pops(A),Wera(D),Pera(D),winsW
.684,.654,3.32,4.19,1
.686,.653,3.33,4.19,1
.684,.652,3.29,4.16,1
.689,.682,3.59,4.00,1
.693,.681,3.58,4.06,1
.695,.682,3.60,4.06,0
.567,.633,3.48,2.02,0
.613,.628,3.34,2.51,1
.614,.609,3.23,2.49,1
.737,.726,4.20,4.10,0
.737,.729,4.25,4.11,0
.735,.729,4.23,4.08,0
.736,.729,4.23,4.09,1
.753,.722,4.03,4.21,0
.750,.716,3.98,4.18,1
.755,.719,3.99,4.23,1
.745,.727,4.00,4.83,1
.746,.729,4.01,4.83,0
.744,.730,4.03,4.80,0
.610,.799,5.09,5.40,1
.641,.788,4.81,5.36,1
.628,.783,4.61,4.96,0
.724,.711,3.87,5.00,0
.722,.710,3.85,4.95,0
.723,.712,3.88,4.95,0
.656,.722,1.80,6.35,1
.697,.714,2.06,6.72,1
.732,.694,1.98,6.94,1
.754,.723,3.46,5.15,0
.752,.720,3.43,5.09,0
.750,.718,3.42,5.08,1
