Wops(A),Pops(A),Wera(D),Pera(D),winsW
.706,.606,5.20,6.08,0
.698,.544,4.17,5.28,1
.766,.570,4.14,5.73,1
.717,.695,3.74,3.99,1
.718,.695,3.75,4.01,1
.720,.693,3.72,4.01,1
.744,.754,3.93,4.02,0
.743,.752,3.91,3.99,1
.745,.752,3.91,3.97,0
.740,.756,4.03,3.91,0
.728,.701,3.58,4.25,1
.730,.694,3.49,4.20,1
.728,.709,3.72,4.16,0
.729,.702,3.59,4.20,1
.703,.668,3.60,4.67,0
.706,.667,3.59,4.68,1
.703,.667,3.59,4.62,0
.722,.681,3.71,4.72,0
.721,.681,3.71,4.69,0
.721,.680,3.70,4.71,1
.767,.588,2.88,4.83,1
.763,.588,2.82,4.74,1
.764,.657,3.58,4.37,1
.765,.656,3.56,4.38,1
.768,.680,3.76,4.22,1
.763,.667,3.65,4.21,1
.776,.678,3.75,4.38,1
.775,.680,3.73,4.22,1
.770,.681,3.79,4.18,0
.768,.681,3.76,4.17,1
