Wops(A),Pops(A),Wera(D),Pera(D),winsW
.690,.697,3.43,4.07,0
.693,.704,3.46,4.07,0
.702,.698,3.45,4.25,1
.702,.703,3.69,4.19,0
.704,.705,3.70,4.18,0
.704,.705,3.69,4.18,1
.734,.695,4.18,5.00,0
.733,.696,4.14,4.96,1
.740,.695,4.11,5.00,1
.746,.700,4.13,5.04,1
.723,.750,4.19,4.86,0
.724,.748,4.17,4.87,1
.725,.750,4.18,4.85,0
.750,.742,3.61,4.17,1
.749,.747,3.65,4.14,0
.752,.746,3.63,4.14,1
.747,.761,4.02,4.67,1
.745,.759,4.00,4.65,1
.746,.761,4.04,4.66,0
.659,.704,4.84,3.30,1
.681,.702,4.64,3.75,1
.702,.704,4.71,4.03,1
.711,.714,3.55,4.31,0
.714,.719,3.63,4.34,0
.722,.720,3.64,4.49,1
.723,.722,3.71,4.51,0
.780,.851,2.79,3.91,1
.775,.849,2.83,3.89,0
.773,.851,2.87,3.84,0
.772,.853,2.98,3.88,0
.760,.843,3.28,3.97,0
.760,.840,3.28,3.97,0
.752,.831,3.23,3.94,1
