Wops(A),Pops(A),Wera(D),Pera(D),winsW
.732,.713,4.21,4.04,0
.699,.725,4.61,3.70,0
.700,.737,4.64,3.65,0
.718,.757,3.84,3.37,0
.716,.753,3.86,3.31,0
.700,.741,3.70,3.23,1
.693,.758,3.60,3.29,0
.688,.752,3.55,3.32,1
.688,.747,3.50,3.33,1
.692,.740,3.43,3.41,1
.682,.753,3.44,4.03,0
.681,.751,3.43,4.00,0
.682,.748,3.40,4.01,1
.710,.756,3.69,3.94,0
.709,.754,3.68,3.93,1
.710,.754,3.69,3.94,0
.711,.750,3.70,4.00,0
.712,.749,3.69,4.02,1
.711,.748,3.69,4.00,0
.661,.712,3.77,4.23,0
.656,.702,3.67,4.09,0
.687,.689,3.52,4.32,1
.734,.685,3.96,4.04,0
.743,.688,3.98,4.16,1
.737,.680,3.94,4.09,0
.724,.700,4.29,4.17,1
.726,.700,4.28,4.19,1
.726,.700,4.27,4.20,1
.725,.704,4.19,4.21,0
.724,.708,4.23,4.20,0
.728,.708,4.22,4.27,1
.739,.718,4.22,4.18,0
.740,.720,4.24,4.19,0
.739,.720,4.25,4.17,0
.740,.719,4.23,4.17,1
.738,.721,4.19,4.17,0
.739,.724,4.23,4.17,0
.739,.722,4.20,4.16,1
.983,.560,2.00,7.88,1
.702,.698,3.50,3.71,0
.689,.682,2.67,3.96,1
.716,.768,3.58,3.66,0
.716,.755,3.67,3.44,0
.701,.766,3.64,3.27,0
.755,.808,3.76,3.84,1
.763,.806,3.79,3.98,1
.756,.801,3.77,3.91,0
.762,.785,4.09,3.85,0
.758,.785,4.11,3.83,0
.758,.786,4.12,3.83,0
.758,.784,4.11,3.84,1
.743,.779,4.05,3.79,0
.742,.776,4.03,3.79,1
.742,.775,4.02,3.77,0
.737,.786,4.01,3.76,0
.736,.787,4.02,3.74,0
.737,.788,4.03,3.77,1
.548,.779,3.89,3.77,0
.533,.784,4.50,3.46,0
.717,.793,3.90,3.54,0
.713,.793,3.92,3.49,0
.711,.793,3.93,3.45,0
.711,.792,3.89,3.44,1
.706,.793,3.85,3.38,1
.707,.789,3.80,3.39,1
.710,.788,3.81,3.43,1
.724,.793,3.70,3.56,1
.720,.791,3.70,3.53,0
.720,.788,3.69,3.53,1
.717,.784,3.82,3.70,0
.718,.782,3.80,3.72,1
.719,.780,3.77,3.70,1
.740,.775,3.63,3.76,0
.739,.777,3.66,3.74,0
.739,.776,3.68,3.76,1
.737,.779,3.74,3.74,0
.770,.766,2.88,3.80,0
.776,.762,2.85,3.90,1
.769,.763,2.96,3.82,0
.762,.763,2.85,3.70,0
.755,.755,2.79,3.64,1
.758,.762,2.82,3.67,0
.768,.782,3.02,4.00,0
.766,.784,3.07,3.99,0
.762,.786,3.19,3.95,0
.749,.804,3.31,4.17,0
.749,.806,3.35,4.15,0
.749,.807,3.35,4.15,1
.748,.804,3.32,4.14,1
.759,.802,3.31,4.05,1
.759,.804,3.36,4.04,0
.758,.805,3.38,4.02,0
.756,.805,3.40,3.99,0
.758,.831,3.65,4.26,1
.758,.828,3.63,4.27,1
.644,.782,3.35,4.08,1
.652,.808,3.74,4.14,0
.657,.803,3.75,4.31,1
.671,.789,3.57,4.30,1
.779,.832,4.23,4.06,1
.776,.820,4.13,4.01,1
.779,.819,4.17,4.27,1
.780,.785,3.73,4.30,1
.775,.785,3.77,4.26,0
.778,.779,3.73,4.28,1
