Wops(A),Pops(A),Wera(D),Pera(D),winsW
.684,.662,3.51,3.97,0
.687,.658,3.45,4.09,1
.699,.657,3.41,4.21,1
.691,.658,3.36,4.10,0
.702,.725,3.59,4.49,0
.701,.728,3.66,4.49,0
.702,.729,3.67,4.48,0
.733,.752,4.15,4.28,0
.736,.752,4.13,4.32,1
.737,.752,4.13,4.35,1
.734,.757,4.22,4.39,0
.732,.755,4.20,4.36,1
.733,.755,4.20,4.37,1
.756,.728,3.71,4.21,1
.760,.732,3.81,4.22,0
.764,.731,3.83,4.23,1
.767,.735,4.12,4.35,0
.765,.732,4.08,4.34,0
.763,.735,4.10,4.33,0
.650,.663,4.78,4.67,1
.649,.672,4.91,4.47,0
.651,.668,4.74,4.47,1
.735,.730,3.62,4.96,1
.737,.728,3.60,4.95,1
.740,.727,3.59,4.97,1
.747,.783,3.24,4.68,0
.748,.779,3.22,4.69,1
.749,.775,3.21,4.69,1
.757,.748,3.59,4.83,1
.759,.748,3.63,4.86,0
.759,.749,3.64,4.86,0
