Wops(A),Pops(A),Wera(D),Pera(D),winsW
.713,.655,3.69,4.28,1
.710,.638,3.48,3.99,1
.729,.703,4.37,4.33,0
.734,.683,4.13,4.30,1
.723,.780,4.08,4.77,1
.723,.767,3.96,4.75,1
.733,.746,3.80,4.80,1
.698,.788,3.33,4.28,0
.700,.784,3.31,4.28,1
.694,.780,3.27,4.20,0
.680,.773,3.59,4.16,0
.682,.771,3.57,4.14,1
.679,.770,3.58,4.10,0
.718,.790,3.70,3.77,0
.718,.793,3.75,3.77,0
.717,.793,3.76,3.77,0
.719,.797,3.75,3.80,0
.718,.796,3.74,3.81,1
.720,.797,3.74,3.80,1
.536,.577,4.00,3.00,0
.595,.668,4.50,3.00,0
.634,.656,3.33,3.12,1
.690,.628,3.25,3.71,1
.672,.714,3.33,3.87,0
.683,.709,3.31,3.89,1
.672,.709,3.39,3.78,0
.722,.715,3.69,3.56,1
.732,.711,3.64,3.70,1
.736,.711,3.62,3.73,1
.726,.758,4.19,3.76,0
.729,.756,4.17,3.79,1
.726,.757,4.17,3.76,0
.738,.766,4.14,3.81,1
.740,.764,4.14,3.84,1
.738,.764,4.15,3.83,0
.738,.760,4.22,3.92,0
.739,.760,4.21,3.93,1
.740,.757,4.19,3.96,1
.686,.556,3.00,2.60,0
.764,.651,3.80,4.54,1
.729,.597,3.38,4.08,1
.767,.576,3.18,4.64,1
.758,.647,3.71,4.40,1
.746,.647,3.69,4.26,0
.735,.645,3.68,4.14,0
.729,.678,3.74,4.39,0
.729,.670,3.65,4.42,1
.716,.665,3.60,4.28,0
.770,.723,4.00,4.15,1
.769,.726,4.02,4.16,0
.739,.729,4.06,4.52,0
.741,.728,4.05,4.53,1
.740,.728,4.05,4.51,0
.740,.728,4.06,4.49,0
.742,.726,4.07,4.54,1
.743,.729,4.09,4.55,0
.742,.727,4.06,4.53,1
.743,.750,4.33,4.62,1
.739,.749,4.28,4.56,1
.738,.742,4.21,4.46,0
.722,.727,3.99,4.61,1
.722,.722,3.95,4.61,1
.718,.718,3.89,4.56,1
.721,.740,3.85,4.77,1
.721,.739,3.83,4.75,1
.719,.738,3.82,4.71,0
.728,.741,3.66,4.89,1
.728,.739,3.63,4.88,1
.727,.742,3.68,4.87,0
.740,.739,3.63,4.84,0
.742,.739,3.62,4.86,1
.742,.740,3.64,4.85,0
.742,.739,3.63,4.85,1
.738,.740,3.75,4.82,0
.739,.739,3.75,4.82,1
.740,.739,3.74,4.85,1
.791,.625,2.27,3.47,1
.779,.618,2.33,3.30,0
.776,.630,2.44,3.41,1
.774,.661,2.83,4.35,1
.774,.658,2.80,4.34,1
.774,.661,2.79,4.32,1
.748,.701,3.45,4.81,1
.748,.707,3.50,4.84,0
.752,.710,3.55,4.88,1
.762,.723,3.54,4.71,0
.763,.723,3.54,4.72,1
.762,.723,3.55,4.71,0
.756,.727,3.64,4.72,1
.756,.724,3.61,4.71,1
.756,.723,3.61,4.72,1
.758,.722,3.60,4.74,1
.758,.730,3.62,4.83,1
.757,.732,3.62,4.80,0
.757,.733,3.65,4.79,0
.667,.720,6.00,3.00,0
.622,.652,3.50,3.71,1
.697,.674,3.54,4.15,1
.765,.737,4.39,4.03,0
.770,.730,4.23,3.91,1
.770,.730,4.23,3.91,1
.776,.741,4.28,3.99,1
.781,.768,4.18,3.99,0
.767,.755,4.05,3.86,1
.766,.755,4.05,3.92,1
.772,.756,4.05,3.89,0
