Wops(A),Pops(A),Wera(D),Pera(D),winsW
.734,.651,4.15,4.38,1
.731,.658,4.24,4.34,0
.731,.651,4.14,4.28,1
.713,.635,3.90,4.18,1
.709,.635,3.88,4.15,0
.710,.637,3.86,4.10,0
.710,.621,4.04,2.34,0
.701,.637,4.01,2.35,0
.697,.649,4.03,2.28,0
.716,.718,4.00,2.79,0
.735,.725,4.17,3.10,1
.737,.728,4.14,3.19,1
.736,.735,4.38,4.30,0
.741,.733,4.38,4.38,1
.739,.734,4.40,4.36,0
.757,.730,4.44,4.75,1
.756,.730,4.43,4.74,0
.763,.732,4.45,4.85,1
.762,.731,4.44,4.82,0
.684,.714,4.71,5.27,0
.687,.713,4.69,5.41,1
.683,.716,4.71,5.33,0
.675,.714,4.69,5.21,0
.719,.694,4.64,4.66,1
.724,.697,4.63,4.76,1
.724,.701,4.70,4.76,0
.777,.720,4.89,4.96,0
.782,.719,4.89,4.98,1
.784,.718,4.87,4.99,1
.759,.711,4.97,4.84,0
.756,.712,5.00,4.83,0
.756,.710,4.96,4.81,1
.752,.710,4.94,4.78,0
