Wops(A),Pops(A),Wera(D),Pera(D),winsW
.716,.676,4.03,3.84,1
.725,.677,4.08,3.97,1
.726,.684,4.08,3.95,0
.726,.697,4.47,4.22,0
.724,.702,4.51,4.19,0
.724,.702,4.51,4.21,1
.750,.711,3.96,5.14,1
.751,.717,4.09,5.14,0
.751,.718,4.11,5.10,0
.752,.728,4.29,4.95,0
.753,.728,4.29,4.97,1
.754,.732,4.32,4.97,0
.755,.739,4.42,4.97,0
.672,.681,3.66,3.51,0
.666,.707,3.86,3.39,0
.693,.708,3.82,3.87,1
.745,.726,4.49,4.83,1
.745,.730,4.53,4.82,0
.744,.727,4.48,4.81,1
.744,.728,4.50,4.81,0
.711,.708,4.74,4.16,1
.713,.711,4.75,4.23,1
.708,.710,4.73,4.17,0
.730,.720,5.00,4.50,0
.731,.720,4.99,4.52,1
.738,.720,4.98,4.61,1
.775,.836,4.86,3.98,0
.774,.837,4.88,3.98,0
.773,.833,4.82,3.97,1
.764,.836,4.98,4.17,0
.763,.835,4.97,4.16,0
.764,.837,4.97,4.15,0
.763,.836,4.98,4.14,0
