Wops(A),Pops(A),Wera(D),Pera(D),winsW
.701,.727,4.19,3.75,1
.710,.726,4.19,4.01,1
.716,.720,4.14,4.01,1
.720,.752,4.39,3.91,0
.717,.759,4.54,3.93,0
.717,.758,4.52,3.93,1
.720,.760,4.53,3.96,1
.685,.694,3.98,4.14,0
.704,.681,3.84,4.47,1
.698,.678,3.75,4.42,1
.755,.701,4.00,4.38,1
.755,.699,3.96,4.42,1
.755,.704,4.03,4.45,0
.752,.703,3.99,4.41,0
.735,.812,4.24,3.75,0
.736,.808,4.20,3.81,1
.738,.808,4.22,3.85,1
.773,.777,4.47,3.81,1
.769,.775,4.46,3.79,0
.770,.780,4.52,3.81,0
.677,.811,4.80,3.65,0
.680,.810,4.78,3.71,1
.685,.815,4.84,3.90,1
.738,.784,4.87,3.65,0
.742,.784,4.89,3.70,1
.741,.784,4.89,3.70,0
.740,.785,4.91,3.68,0
.748,.828,4.86,4.44,1
.746,.831,4.90,4.42,0
.745,.830,4.90,4.39,0
.749,.832,5.09,4.28,0
.750,.831,5.08,4.31,1
.750,.828,5.06,4.31,1
