Wops(A),Pops(A),Wera(D),Pera(D),winsW
.710,.786,4.10,4.17,0
.712,.780,4.05,4.17,1
.711,.778,4.04,4.13,0
.727,.777,4.37,3.80,0
.727,.779,4.42,3.80,0
.728,.778,4.39,3.81,1
.714,.703,3.71,3.71,1
.706,.708,3.68,3.60,0
.701,.706,3.70,3.58,0
.696,.721,4.01,3.52,0
.725,.709,4.13,3.17,0
.726,.713,4.15,3.21,1
.734,.717,4.09,3.32,1
.725,.709,4.17,4.22,0
.722,.709,4.16,4.15,0
.722,.706,4.09,4.13,1
.730,.733,4.30,4.25,0
.733,.730,4.26,4.28,1
.734,.732,4.30,4.29,0
.740,.733,4.28,4.37,1
.651,.761,4.44,4.00,0
.656,.730,4.09,4.16,1
.672,.740,4.18,4.15,0
.677,.721,4.65,4.09,1
.687,.724,4.63,4.13,1
.682,.736,4.69,4.05,0
.787,.667,5.25,3.32,0
.786,.669,5.24,3.44,1
.792,.669,5.14,3.65,1
.762,.732,4.98,4.71,0
.760,.733,4.96,4.67,0
.761,.732,4.95,4.69,1
