Wops(A),Pops(A),Wera(D),Pera(D),winsW
.726,.712,4.55,3.40,0
.756,.721,4.54,3.64,1
.737,.719,4.50,3.50,0
.787,.674,3.86,4.56,0
.788,.673,3.84,4.59,1
.789,.671,3.81,4.59,1
.689,.731,4.15,4.75,0
.690,.740,4.27,4.76,0
.691,.738,4.32,4.74,0
.700,.732,4.22,4.85,1
.726,.755,4.60,3.55,0
.727,.754,4.59,3.58,1
.726,.748,4.51,3.88,1
.726,.751,4.56,3.89,0
.729,.792,4.71,4.26,1
.729,.793,4.72,4.25,0
.727,.794,4.70,4.24,0
.726,.794,4.72,4.22,0
.671,.763,4.18,3.91,0
.642,.741,3.83,3.76,1
.626,.733,3.87,3.70,0
