Wops(A),Pops(A),Wera(D),Pera(D),winsW
.755,.651,4.51,4.30,1
.762,.657,4.60,4.45,1
.762,.660,4.60,4.38,0
.781,.653,4.19,4.05,0
.778,.651,4.16,4.03,1
.777,.656,4.18,4.04,0
.772,.655,4.16,3.99,0
.733,.657,3.70,2.41,0
.722,.682,4.00,2.35,0
.707,.683,4.00,2.24,0
.758,.704,3.83,3.98,0
.761,.712,3.87,4.06,1
.759,.712,3.89,4.03,0
.728,.735,4.25,4.27,0
.724,.736,4.24,4.23,0
.730,.733,4.23,4.28,1
.723,.724,4.58,4.62,0
.727,.726,4.58,4.66,1
.727,.724,4.54,4.66,1
.687,.952,3.60,4.50,1
.800,.923,3.83,6.88,1
.747,.909,3.86,5.86,0
.735,.704,4.59,5.02,1
.736,.707,4.64,5.02,0
.738,.708,4.63,5.04,1
.645,.731,3.84,5.38,1
.648,.735,3.90,5.29,0
.641,.736,3.93,5.17,0
.637,.733,3.88,5.04,0
.652,.727,3.84,5.13,1
.652,.728,3.85,5.06,1
