Wops(A),Pops(A),Wera(D),Pera(D),winsW
.765,.695,4.59,3.98,1
.765,.699,4.57,3.92,0
.768,.700,4.59,3.92,0
.776,.698,3.96,3.96,1
.776,.695,3.94,3.96,1
.777,.695,3.93,4.01,1
.780,.694,3.92,4.06,1
.708,.670,3.64,4.90,1
.718,.673,3.63,5.01,1
.718,.671,3.67,4.96,0
.719,.664,3.61,4.91,1
.764,.744,3.79,5.06,1
.765,.744,3.81,5.09,1
.769,.743,3.81,5.12,1
.727,.750,4.54,4.64,0
.729,.750,4.56,4.69,1
.728,.753,4.58,4.67,0
.726,.769,4.40,4.61,0
.726,.768,4.39,4.61,1
.727,.766,4.37,4.63,1
.727,.769,4.41,4.64,0
.740,.718,4.08,5.29,1
.746,.716,4.07,5.34,1
.740,.717,4.08,5.13,0
.732,.720,4.54,4.52,0
.730,.720,4.52,4.47,0
.731,.724,4.59,4.48,0
.644,.811,3.38,4.30,1
.646,.814,3.47,4.43,1
.638,.811,3.52,4.20,0
.648,.805,3.55,4.37,1
.659,.815,3.74,4.00,0
.652,.810,3.72,3.88,0
.644,.822,3.86,3.80,0
