Wops(A),Pops(A),Wera(D),Pera(D),winsW
.653,.419,1.00,5.00,1
.583,.557,2.65,3.50,0
.590,.653,2.77,4.00,1
.754,.738,4.97,3.17,1
.754,.739,4.97,3.17,0
.759,.734,4.83,3.24,1
.779,.764,3.89,3.93,1
.778,.760,3.85,3.94,1
.776,.757,3.82,3.92,1
.773,.753,3.78,3.90,0
.770,.754,3.78,3.88,0
.769,.752,3.76,3.87,1
.789,.751,3.83,3.98,1
.790,.751,3.83,4.01,1
.791,.752,3.86,4.05,1
.789,.752,3.87,4.02,0
.788,.746,3.79,3.97,1
.788,.747,3.80,3.97,0
.788,.745,3.77,3.97,1
.636,.821,3.99,3.91,0
.663,.800,3.76,4.28,1
.684,.742,3.58,4.30,1
.711,.692,3.67,4.09,0
.717,.693,3.68,4.18,1
.711,.688,3.62,4.11,1
.724,.678,3.69,4.10,1
.724,.674,3.64,4.10,1
.726,.670,3.58,4.15,1
.756,.708,3.71,4.23,0
.760,.708,3.73,4.30,1
.760,.709,3.74,4.32,1
.764,.715,3.84,4.20,0
.764,.716,3.87,4.22,0
.763,.717,3.86,4.19,0
.760,.720,3.83,4.18,1
.759,.718,3.81,4.18,1
.760,.718,3.80,4.18,1
.759,.719,3.81,4.18,0
.659,.789,4.02,3.51,1
.668,.815,4.29,3.57,0
.669,.824,4.44,3.66,0
.729,.797,4.19,3.78,0
.734,.797,4.21,3.84,1
.728,.799,4.22,3.76,0
.728,.794,4.18,3.76,1
.721,.803,4.42,3.92,0
.720,.799,4.38,3.92,1
.724,.798,4.40,3.96,1
.731,.774,4.62,3.78,1
.730,.779,4.68,3.78,0
.730,.777,4.64,3.78,1
.724,.781,4.42,3.76,1
.722,.781,4.43,3.74,0
.724,.782,4.43,3.78,1
.728,.787,4.46,3.75,0
.727,.787,4.44,3.73,0
.724,.785,4.42,3.72,1
.329,.957,5.00,1.00,0
.448,.846,4.50,1.50,0
.571,.782,4.00,2.42,1
.681,.726,4.00,3.71,1
.757,.784,3.83,4.41,0
.764,.790,3.89,4.61,1
.745,.791,4.02,4.42,0
.735,.794,4.04,4.26,0
.712,.807,4.80,3.74,0
.704,.803,4.74,3.65,0
.728,.789,4.54,3.44,1
.730,.791,4.57,3.45,0
.727,.789,4.53,3.42,0
.736,.784,4.79,3.73,0
.737,.786,4.84,3.72,0
.739,.775,4.89,3.73,0
.742,.777,4.90,3.76,1
.740,.775,4.88,3.76,1
.662,.782,4.46,3.75,1
.670,.781,4.50,3.83,1
.668,.781,4.46,3.80,0
.689,.791,4.88,4.05,0
.686,.796,4.87,4.04,0
.691,.799,4.91,4.08,0
.707,.804,4.91,4.09,0
.705,.802,4.87,4.07,1
.703,.802,4.86,4.04,0
.725,.834,4.77,4.33,0
.727,.832,4.75,4.36,1
.727,.831,4.74,4.37,1
.724,.829,4.71,4.33,0
.726,.831,4.69,4.38,1
.725,.836,4.75,4.37,0
.726,.834,4.74,4.38,1
.732,.833,4.75,4.31,1
.731,.834,4.77,4.29,0
.731,.834,4.79,4.28,0
.779,.756,3.95,4.56,1
.774,.750,3.87,4.50,1
.768,.750,3.90,4.44,0
.763,.779,4.27,4.15,0
.758,.795,4.46,4.10,0
.762,.809,4.59,4.16,0
.761,.800,4.65,4.30,1
.756,.803,4.78,4.24,0
.764,.796,4.70,4.38,1
.764,.791,4.63,4.38,1
