Wops(A),Pops(A),Wera(D),Pera(D),winsW
.635,.701,3.64,3.63,0
.668,.720,3.81,3.90,1
.681,.712,3.77,4.35,1
.699,.717,3.37,4.30,1
.714,.715,3.46,4.44,1
.718,.715,3.47,4.47,1
.732,.691,3.79,4.06,1
.729,.689,3.74,4.02,1
.731,.686,3.69,4.02,1
.733,.684,3.67,4.04,1
.729,.684,3.68,4.00,0
.726,.681,3.66,3.96,0
.726,.673,3.76,4.53,1
.727,.673,3.74,4.54,1
.729,.671,3.71,4.56,1
.730,.670,3.71,4.58,1
.731,.673,3.71,4.54,0
.730,.672,3.70,4.52,0
.728,.671,3.67,4.49,1
.708,.576,2.70,2.70,1
.643,.577,1.89,2.84,1
.750,.606,2.93,6.67,1
.730,.592,2.62,6.10,1
.710,.576,2.25,5.79,1
.709,.560,2.22,5.88,1
.753,.672,3.25,4.34,0
.755,.674,3.27,4.37,1
.756,.672,3.26,4.40,1
.758,.671,3.34,4.44,1
.758,.671,3.35,4.45,1
.761,.673,3.38,4.50,1
.760,.674,3.39,4.51,0
.755,.690,3.44,4.53,1
.756,.690,3.46,4.55,1
.757,.691,3.46,4.55,1
.754,.698,3.39,4.63,1
.754,.699,3.41,4.61,0
.810,.744,4.28,3.52,1
.846,.735,4.26,4.28,1
.825,.721,4.11,4.20,1
.833,.742,4.50,4.83,0
.824,.747,4.53,4.73,0
.818,.742,4.47,4.64,1
.808,.742,4.07,4.61,0
.814,.745,4.08,4.70,1
.811,.749,4.22,4.66,0
.817,.733,4.10,4.67,0
.815,.733,4.10,4.68,1
.810,.737,4.16,4.62,0
.812,.737,4.16,4.68,1
.790,.748,3.86,4.81,0
.788,.748,3.89,4.79,0
.788,.747,3.87,4.79,1
.784,.741,3.85,4.78,1
.784,.740,3.84,4.80,1
.782,.739,3.84,4.78,0
.884,.797,2.75,4.26,1
.884,.877,4.91,4.40,0
.836,.857,4.67,3.86,0
.762,.786,4.35,3.14,1
.755,.762,4.05,3.07,1
.745,.772,4.02,2.98,0
.736,.764,3.21,3.61,0
.728,.763,3.22,3.55,0
.724,.753,3.18,3.54,1
.720,.754,3.18,3.48,0
.725,.747,3.91,3.84,0
.728,.748,3.89,3.87,1
.743,.744,3.81,3.88,1
.742,.743,3.80,3.86,0
.742,.744,3.83,3.83,0
.743,.745,3.82,3.86,1
.746,.752,4.03,3.69,0
.746,.750,4.00,3.72,1
.747,.749,4.00,3.73,1
.737,.770,4.88,4.10,1
.745,.765,4.86,4.28,1
.762,.802,4.57,4.20,1
.764,.805,4.68,4.26,0
.762,.804,4.66,4.23,0
.766,.792,4.34,4.29,1
.764,.794,4.34,4.28,0
.766,.792,4.32,4.29,1
.762,.794,4.36,4.25,0
.769,.791,4.31,4.29,1
.771,.794,4.36,4.32,0
.772,.796,4.37,4.31,0
.794,.794,4.35,4.21,0
.793,.794,4.34,4.20,0
.792,.796,4.35,4.20,0
.796,.795,4.35,4.23,1
.794,.795,4.36,4.22,0
.793,.796,4.40,4.20,0
.794,.794,4.37,4.22,1
.752,.754,4.71,4.26,0
.765,.762,4.72,4.42,1
.768,.806,5.09,4.23,0
.774,.813,5.21,4.42,1
.777,.812,5.18,4.57,1
.771,.822,5.32,4.53,0
.774,.841,5.20,4.66,0
.774,.841,5.20,4.68,1
.767,.834,5.12,4.60,0
.765,.835,5.19,4.56,0
