Wops(A),Pops(A),Wera(D),Pera(D),winsW
.658,.664,3.09,4.56,0
.646,.685,3.39,4.30,0
.637,.700,3.55,4.17,0
.680,.706,3.41,3.95,1
.670,.702,3.36,3.84,0
.684,.705,3.42,3.97,1
.713,.685,3.64,3.67,0
.714,.683,3.62,3.70,1
.713,.680,3.59,3.67,1
.715,.680,3.75,3.97,0
.716,.679,3.73,3.98,1
.720,.680,3.73,4.01,1
.729,.684,3.78,3.96,0
.726,.685,3.77,3.93,0
.726,.684,3.74,3.93,1
.732,.688,3.73,3.90,0
.732,.689,3.73,3.91,1
.733,.689,3.71,3.92,1
.735,.688,3.70,3.99,1
.686,.785,2.89,5.90,0
.724,.773,2.68,5.59,1
.741,.743,2.32,4.14,0
.765,.719,2.14,4.38,1
.757,.705,2.06,4.27,1
.733,.714,2.27,4.04,0
.736,.753,2.83,4.16,1
.738,.753,2.86,4.20,1
.732,.755,2.97,4.11,0
.729,.754,2.97,4.02,0
.727,.751,2.81,3.92,1
.724,.754,2.80,3.87,0
.728,.749,2.79,3.97,1
.753,.720,3.44,3.98,0
.750,.719,3.43,3.96,0
.750,.717,3.43,3.97,1
.750,.716,3.51,4.02,0
.750,.714,3.49,4.01,1
.751,.716,3.51,4.05,1
.901,.424,2.00,4.50,1
.940,.600,3.00,5.63,1
.900,.698,3.21,4.50,0
.814,.760,4.20,4.48,0
.814,.758,4.18,4.56,1
.811,.752,4.13,4.51,0
.815,.757,4.05,4.64,1
.815,.758,4.08,4.65,0
.811,.760,4.11,4.61,0
.809,.755,4.10,4.59,1
.808,.755,4.13,4.57,0
.812,.753,4.10,4.63,1
.812,.752,4.08,4.62,1
.794,.762,3.91,4.61,1
.796,.761,3.90,4.64,1
.797,.760,3.87,4.63,1
.789,.756,3.84,4.63,1
.788,.753,3.82,4.61,1
.790,.752,3.80,4.63,1
.734,.645,3.43,4.96,1
.734,.643,3.38,4.94,1
.741,.641,3.34,4.95,1
.720,.672,3.82,4.74,1
.720,.672,3.80,4.72,1
.726,.674,3.80,4.87,1
.724,.680,3.87,4.84,0
.728,.680,3.91,4.81,1
.732,.677,3.87,4.85,1
.729,.676,3.85,4.81,0
.726,.676,3.85,4.77,0
.743,.662,3.85,4.87,1
.743,.664,3.86,4.87,0
.740,.669,3.92,4.84,0
.747,.665,4.03,4.86,0
.747,.664,4.02,4.86,1
.748,.663,4.00,4.78,1
.750,.663,3.99,4.81,1
.799,.603,4.92,4.80,0
.797,.618,5.11,4.67,0
.802,.606,4.85,4.68,1
.733,.614,5.05,4.53,1
.732,.610,4.95,4.53,1
.738,.616,4.97,4.63,1
.734,.616,4.89,4.58,0
.760,.649,4.62,4.24,1
.759,.647,4.62,4.27,1
.763,.646,4.63,4.30,1
.758,.654,4.54,4.32,1
.760,.652,4.50,4.31,1
.760,.653,4.46,4.33,1
.793,.668,4.33,4.72,1
.795,.665,4.30,4.74,1
.797,.663,4.29,4.77,1
.792,.671,4.34,4.74,1
.792,.670,4.33,4.77,1
.790,.671,4.34,4.76,0
.755,.686,4.64,4.46,0
.754,.688,4.66,4.52,1
.758,.692,4.65,4.49,0
.763,.691,4.58,4.59,1
.769,.708,4.84,4.61,0
.758,.702,5.05,4.65,1
.756,.714,5.26,4.64,0
.752,.722,5.31,4.58,0
.750,.718,5.23,4.53,0
.767,.712,5.15,4.74,1
