Wops(A),Pops(A),Wera(D),Pera(D),winsW
.719,.660,3.94,4.21,0
.719,.666,4.01,4.21,0
.721,.664,3.98,4.25,1
.720,.657,3.92,4.25,1
.706,.697,3.78,4.14,0
.708,.696,3.75,4.16,1
.711,.697,3.76,4.20,1
.747,.722,3.36,4.51,0
.748,.724,3.40,4.52,0
.746,.726,3.38,4.50,1
.754,.718,3.28,4.49,0
.754,.721,3.29,4.46,0
.757,.718,3.30,4.49,1
.814,.770,4.07,4.10,0
.814,.770,4.08,4.14,1
.824,.768,4.06,4.25,1
.796,.755,3.89,4.10,0
.793,.754,3.87,4.07,0
.792,.753,3.85,4.06,1
.789,.753,3.86,4.04,0
.725,.721,3.92,3.64,0
.724,.723,3.92,3.61,0
.722,.721,3.92,3.64,1
.743,.739,3.92,3.94,0
.743,.740,3.92,3.95,1
.742,.742,3.95,3.95,0
.744,.759,4.89,4.74,0
.734,.757,4.94,4.62,0
.729,.764,4.92,4.58,0
.775,.768,4.38,4.60,1
.778,.774,4.45,4.64,0
.787,.778,4.48,4.74,1
