Wops(A),Pops(A),Wera(D),Pera(D),winsW
.318,.422,0.00,1.00,0
.519,.411,0.50,1.59,1
.535,.489,1.33,2.08,0
.684,.672,3.69,3.33,1
.677,.675,3.72,3.19,0
.673,.667,3.57,3.10,1
.672,.657,3.43,3.01,1
.714,.661,3.56,3.24,1
.712,.660,3.59,3.22,0
.712,.658,3.58,3.24,1
.708,.662,3.56,3.26,0
.706,.663,3.56,3.25,0
.705,.665,3.58,3.24,0
.730,.710,3.75,3.35,0
.730,.710,3.78,3.37,0
.730,.711,3.79,3.37,0
.728,.716,3.66,3.46,1
.726,.712,3.63,3.45,1
.724,.712,3.62,3.43,0
.721,.744,2.95,3.01,0
.722,.738,2.90,3.11,1
.725,.731,2.86,3.18,1
.722,.735,2.88,3.05,0
.731,.732,2.90,3.15,1
.725,.727,2.86,3.08,0
.750,.710,3.39,3.31,1
.752,.707,3.34,3.34,1
.752,.704,3.33,3.35,1
.761,.732,3.37,3.37,0
.759,.730,3.34,3.36,1
.759,.726,3.30,3.39,1
.757,.725,3.29,3.39,1
.756,.724,3.42,3.63,1
.755,.723,3.42,3.61,0
.754,.724,3.43,3.59,0
.755,.726,3.42,3.59,1
.754,.727,3.42,3.58,0
.753,.724,3.39,3.57,1
.810,.693,3.99,3.40,1
.802,.671,3.82,3.38,1
.793,.668,3.77,3.50,1
.846,.676,4.44,3.87,0
.840,.680,4.47,3.79,0
.879,.686,4.49,4.53,1
.813,.759,4.20,4.86,1
.816,.758,4.17,4.89,1
.818,.759,4.16,4.91,1
.812,.761,4.15,4.84,0
.816,.770,4.09,4.84,1
.817,.772,4.09,4.92,1
.792,.754,3.91,4.78,0
.793,.754,3.91,4.78,1
.794,.755,3.92,4.78,0
.793,.755,3.93,4.79,1
.781,.760,3.87,5.05,0
.782,.758,3.86,5.04,1
.781,.757,3.85,5.02,1
.798,.793,5.16,2.33,0
.764,.772,4.89,2.14,0
.767,.762,4.83,2.40,0
.734,.742,3.90,2.93,1
.733,.738,3.80,3.06,1
.729,.741,4.19,3.17,0
.725,.685,3.85,4.30,1
.726,.686,3.86,4.27,0
.725,.687,3.90,4.27,0
.724,.685,3.87,4.29,1
.738,.687,3.85,4.47,1
.738,.687,3.84,4.46,1
.741,.702,3.92,4.20,0
.740,.702,3.92,4.17,0
.743,.700,3.89,4.25,1
.746,.705,4.02,4.16,0
.744,.705,4.01,4.15,0
.745,.702,3.98,4.17,1
.746,.705,4.01,4.18,0
.406,.493,2.00,0.00,0
.608,.736,6.50,2.00,0
.709,.741,6.00,3.42,1
.738,.689,5.50,3.47,1
.744,.754,5.66,3.53,0
.759,.778,6.08,4.48,1
.701,.733,4.81,4.42,0
.704,.725,4.72,4.44,1
.710,.725,4.75,4.52,1
.721,.719,4.87,4.48,0
.723,.721,4.90,4.49,0
.717,.722,4.93,4.42,0
.721,.722,4.94,4.41,0
.771,.763,4.41,4.40,0
.770,.763,4.41,4.39,0
.770,.762,4.40,4.39,1
.795,.762,4.31,4.34,0
.798,.764,4.32,4.39,1
.797,.767,4.35,4.38,0
.726,.739,2.73,5.23,1
.690,.731,2.76,4.89,0
.717,.728,3.86,5.28,1
.714,.722,3.65,5.09,1
.733,.747,4.18,5.14,0
.718,.766,4.46,4.93,0
.760,.806,5.13,4.78,0
.760,.806,5.11,4.79,1
.763,.804,5.09,4.79,1
.769,.807,5.09,4.98,1
