Wops(A),Pops(A),Wera(D),Pera(D),winsW
.533,.473,2.06,3.75,0
.544,.552,2.23,3.33,0
.574,.563,2.32,3.38,1
.661,.602,3.26,3.89,1
.678,.588,3.14,4.13,1
.677,.588,3.13,4.03,0
.679,.582,2.97,4.06,1
.748,.649,3.68,4.03,1
.742,.654,3.76,3.96,0
.744,.652,3.70,3.97,1
.731,.650,3.66,4.58,1
.730,.647,3.64,4.53,1
.731,.650,3.70,4.53,0
.729,.688,3.76,4.88,1
.729,.685,3.73,4.87,1
.733,.683,3.72,4.91,1
.731,.680,3.74,4.78,0
.730,.678,3.72,4.75,1
.730,.681,3.73,4.75,0
.756,.611,2.09,3.68,1
.765,.612,1.98,4.05,1
.758,.613,2.06,3.86,0
.730,.663,2.33,4.29,0
.711,.664,2.31,4.08,0
.696,.656,2.35,3.90,0
.727,.652,2.99,3.83,1
.730,.648,2.95,3.85,1
.734,.646,2.93,3.91,1
.750,.651,3.27,4.00,1
.753,.649,3.22,4.07,1
.753,.649,3.23,4.09,1
.761,.685,3.47,4.58,1
.760,.683,3.45,4.57,1
.758,.681,3.44,4.55,1
.755,.677,3.46,4.50,0
.756,.678,3.47,4.50,1
.755,.676,3.44,4.49,1
.754,.676,3.43,4.48,1
.938,.741,3.89,5.03,1
.887,.856,6.40,4.60,0
.841,.816,6.04,4.33,0
.850,.742,4.76,5.11,1
.815,.723,4.70,4.82,0
.820,.721,4.56,4.94,1
.861,.741,4.25,4.28,1
.857,.741,4.17,4.34,1
.852,.743,4.16,4.35,0
.846,.760,4.26,4.72,1
.847,.765,4.26,4.67,0
.845,.762,4.28,4.69,1
.790,.722,3.79,4.72,1
.792,.725,3.83,4.76,1
.791,.726,3.84,4.75,0
.791,.723,3.83,4.74,1
.780,.721,3.83,4.61,1
.778,.720,3.83,4.59,0
.779,.721,3.85,4.59,0
.744,.700,3.70,3.70,1
.738,.701,3.68,3.61,0
.738,.702,3.69,3.67,1
.712,.714,3.52,3.90,0
.710,.716,3.54,3.89,0
.717,.718,3.57,3.95,1
.706,.714,3.64,3.87,0
.718,.718,3.68,4.04,1
.718,.718,3.68,4.01,0
.715,.715,3.67,3.97,0
.744,.709,3.92,3.87,1
.746,.711,3.94,3.90,1
.744,.709,3.92,3.87,0
.743,.714,3.88,3.89,1
.742,.714,3.88,3.89,1
.744,.715,3.92,3.89,0
.746,.711,4.00,3.94,1
.746,.713,4.01,3.96,1
.747,.712,3.99,3.96,1
.668,.966,6.25,3.25,0
.767,.915,6.60,4.30,1
.750,.855,5.92,3.83,0
.788,.844,5.87,4.30,1
.807,.810,5.42,5.09,1
.746,.767,4.81,4.08,0
.754,.770,4.91,4.17,1
.747,.766,4.93,4.07,0
.759,.739,4.66,4.51,1
.757,.734,4.60,4.49,1
.762,.736,4.59,4.53,1
.764,.747,4.33,4.63,1
.764,.746,4.32,4.61,1
.762,.746,4.32,4.59,0
.792,.748,4.32,4.54,1
.792,.746,4.30,4.54,1
.792,.745,4.31,4.56,1
.792,.744,4.29,4.56,1
.793,.744,4.28,4.56,1
.768,.796,4.97,5.38,0
.761,.797,4.85,5.24,0
.791,.807,5.06,5.24,0
.779,.810,5.07,5.06,0
.769,.807,5.03,4.89,0
.769,.807,4.99,4.88,0
.764,.785,5.07,5.11,1
.763,.780,5.01,5.10,1
.767,.782,5.04,5.16,1
.764,.791,5.17,5.12,0
