Wops(A),Pops(A),Wera(D),Pera(D),winsW
.728,.695,3.92,2.73,1
.728,.688,3.86,2.78,1
.731,.688,3.83,2.88,1
.711,.699,3.62,2.99,0
.710,.702,3.66,3.01,0
.714,.700,3.64,3.07,1
.713,.699,3.63,3.05,0
.756,.747,3.26,4.38,1
.758,.744,3.23,4.39,1
.751,.741,3.18,4.30,0
.751,.738,3.44,4.15,0
.751,.738,3.42,4.14,1
.753,.738,3.44,4.17,1
.850,.671,4.24,4.24,1
.839,.674,4.30,4.16,0
.834,.684,4.43,4.11,0
.780,.705,3.85,4.22,1
.782,.703,3.83,4.23,1
.779,.702,3.83,4.21,0
.782,.704,3.88,4.22,0
.720,.738,3.90,3.98,1
.730,.740,3.90,4.19,1
.740,.738,3.84,4.27,1
.736,.728,3.72,4.24,1
.724,.719,3.90,4.46,0
.726,.717,3.87,4.46,1
.723,.716,3.85,4.41,0
.800,.698,5.33,2.62,0
.796,.700,5.08,2.67,1
.788,.698,5.00,2.69,0
.792,.744,4.44,5.05,1
.790,.744,4.44,5.02,0
.791,.741,4.41,5.06,1
.793,.740,4.39,5.08,1
