Wops(A),Pops(A),Wera(D),Pera(D),winsW
.732,.716,3.90,4.18,0
.740,.709,3.79,4.31,1
.742,.703,3.71,4.28,1
.745,.704,3.75,4.43,1
.713,.683,3.76,3.94,1
.712,.684,3.77,3.95,0
.714,.682,3.75,3.96,1
.749,.679,3.23,4.53,1
.751,.680,3.25,4.56,1
.748,.682,3.30,4.53,0
.748,.683,3.33,4.50,0
.752,.706,3.24,4.56,0
.752,.705,3.23,4.55,1
.752,.708,3.28,4.56,0
.825,.658,4.24,4.83,1
.825,.650,4.15,4.81,1
.821,.655,4.17,4.77,0
.807,.703,3.97,4.67,1
.806,.702,3.94,4.68,1
.802,.701,3.94,4.64,0
.800,.698,3.91,4.62,1
.744,.673,3.72,4.45,1
.742,.663,3.62,4.44,1
.740,.665,3.59,4.35,0
.734,.660,3.46,4.23,1
.734,.659,3.41,4.19,1
.730,.658,3.40,4.13,0
.785,.688,4.97,3.52,0
.778,.688,5.03,3.48,0
.785,.690,4.98,3.56,1
.745,.713,4.76,4.20,0
.745,.712,4.77,4.20,0
.744,.708,4.71,4.18,1
.746,.705,4.66,4.18,1
