Wops(A),Pops(A),Wera(D),Pera(D),winsW
.724,.735,3.63,3.85,1
.728,.734,3.62,3.92,1
.728,.730,3.59,3.92,1
.705,.736,3.65,3.69,0
.705,.739,3.69,3.70,0
.707,.741,3.77,3.72,0
.703,.742,3.78,3.69,0
.753,.733,3.26,3.71,1
.752,.733,3.24,3.71,1
.751,.733,3.26,3.70,0
.748,.734,3.25,3.68,0
.757,.730,3.21,3.72,1
.756,.733,3.24,3.69,0
.754,.731,3.21,3.67,1
.816,.639,4.08,4.20,1
.818,.639,4.06,4.21,1
.816,.635,4.00,4.19,1
.811,.683,4.06,4.50,1
.809,.683,4.05,4.48,0
.809,.681,4.03,4.49,1
.700,.658,4.13,3.29,0
.697,.662,4.14,3.28,0
.714,.661,4.06,3.64,1
.719,.746,3.24,4.33,0
.722,.747,3.27,4.38,1
.717,.745,3.25,4.31,0
.787,.592,5.13,2.77,0
.808,.610,5.19,3.10,1
.814,.602,5.00,3.16,1
.769,.700,4.44,4.39,1
.769,.699,4.42,4.39,1
.769,.697,4.39,4.39,1
