Wops(A),Pops(A),Wera(D),Pera(D),winsW
.682,.689,2.80,1.90,1
.676,.713,3.01,2.14,0
.666,.709,3.08,2.06,0
.720,.716,3.77,2.65,0
.720,.717,3.78,2.66,0
.721,.718,3.78,2.67,1
.694,.842,2.42,3.90,1
.692,.832,2.36,3.94,1
.701,.819,2.30,4.03,1
.724,.798,2.82,4.23,1
.722,.794,2.89,4.19,0
.722,.798,3.01,4.18,0
.729,.795,2.99,4.31,1
.885,.614,5.74,5.37,1
.907,.626,5.27,5.40,1
.868,.630,5.13,4.90,0
.818,.747,4.17,4.07,0
.814,.744,4.14,4.03,0
.818,.741,4.12,4.05,1
.742,.735,3.86,3.78,0
.742,.736,3.88,3.78,0
.742,.736,3.87,3.77,0
.740,.735,3.87,3.75,1
.743,.732,3.94,3.68,1
.744,.735,4.00,3.68,0
.745,.738,4.02,3.70,0
.772,.807,5.02,4.30,0
.768,.797,4.95,4.22,0
.761,.796,4.95,4.11,0
.751,.789,4.82,4.03,1
.792,.735,4.37,3.80,0
.793,.733,4.34,3.81,1
.792,.734,4.34,3.79,0
